club_name,name,wage,age,pace,shooting,passing,dribbling,position,joined,contract,nationality,preferred_foot,international_reputation
Paris Saint-Germain,Lionel AndrÃ©s Messi Cuccittini,320000,34,85,92,91,95,RW,2021-08-10,2023,Argentina,Left,5
FC Bayern MÃ¼nchen,Robert Lewandowski,270000,32,78,92,79,86,ST,2014-07-01,2023,Poland,Right,5
Manchester United,Cristiano Ronaldo dos Santos Aveiro,270000,36,87,94,80,88,ST,2021-08-27,2023,Portugal,Right,5
Paris Saint-Germain,Neymar da Silva Santos JÃºnior,270000,29,91,83,86,94,LW,2017-08-03,2025,Brazil,Right,5
Manchester City,Kevin De Bruyne,350000,30,76,86,93,88,RCM,2015-08-30,2025,Belgium,Right,4
Paris Saint-Germain,Kylian MbappÃ© Lottin,230000,22,97,88,80,92,ST,2018-07-01,2022,France,Right,4
Tottenham Hotspur,Harry Kane,240000,27,70,91,83,83,ST,2010-07-28,2024,England,Right,4
Chelsea,N'Golo KantÃ©,230000,30,78,66,75,82,RCM,2016-07-16,2023,France,Right,4
Real Madrid CF,Karim Benzema,350000,33,76,86,81,87,CF,2009-07-09,2023,France,Right,4
Tottenham Hotspur,ì†í¥ë¯¼ å­™å…´æ…œ,220000,28,88,87,82,86,LW,2015-08-28,2025,Korea Republic,Right,4
Real Madrid CF,Carlos Henrique Venancio Casimiro,310000,29,65,73,76,73,CDM,2013-07-11,2025,Brazil,Right,3
Liverpool,Virgil van Dijk,230000,29,78,60,71,72,LCB,2018-01-01,2025,Netherlands,Right,4
Liverpool,Sadio ManÃ©,270000,29,91,83,80,89,LW,2016-07-01,2023,Senegal,Right,4
Liverpool,Mohamed Salah Ghaly,270000,29,90,87,81,90,RW,2017-07-01,2023,Egypt,Left,4
FC Bayern MÃ¼nchen,Joshua Walter Kimmich,160000,26,70,73,86,84,RDM,2015-07-01,2025,Germany,Right,4
Paris Saint-Germain,Sergio Ramos GarcÃ­a,115000,35,70,70,76,74,LCB,2021-07-08,2023,Spain,Right,4
AtlÃ©tico de Madrid,Luis Alberto SuÃ¡rez DÃ­az,135000,34,72,90,82,84,RS,2020-09-25,2022,Uruguay,Right,5
Real Madrid CF,Toni Kroos,310000,31,53,81,91,81,LCM,2014-07-17,2023,Germany,Right,4
Chelsea,Romelu Lukaku Menama,260000,28,84,87,74,78,ST,2021-08-12,2026,Belgium,Left,4
Manchester City,Raheem Sterling,290000,26,91,82,79,87,SUB,2015-07-14,2023,England,Right,4
Manchester United,Bruno Miguel Borges Fernandes,250000,26,75,86,89,84,CAM,2020-01-30,2025,Portugal,Right,3
Borussia Dortmund,Erling Braut Haaland,110000,20,89,91,65,80,RS,2020-01-01,2024,Norway,Left,4
FC Barcelona,Sergio Leonel AgÃ¼ero del Castillo,260000,33,71,89,75,87,ST,2021-07-01,2023,Argentina,Right,4
Real Madrid CF,Luka ModriÄ‡,190000,35,73,76,89,88,RCM,2012-08-01,2022,Croatia,Right,4
Paris Saint-Germain,Ãngel FabiÃ¡n Di MarÃ­a HernÃ¡ndez,160000,33,83,81,86,87,SUB,2015-08-06,2022,Argentina,Left,4
FC Bayern MÃ¼nchen,Thomas MÃ¼ller,140000,31,67,84,83,80,CAM,2008-08-10,2023,Germany,Right,4
Lazio,Ciro Immobile,125000,31,86,87,67,81,ST,2016-07-27,2025,Italy,Right,4
Manchester United,Paul Pogba,220000,28,71,81,86,86,RDM,2016-08-09,2022,France,Right,4
Paris Saint-Germain,Marco Verratti,155000,28,64,61,87,91,LCM,2012-07-18,2024,Italy,Right,3
Paris Saint-Germain,Marcos AoÃ¡s CorrÃªa,135000,27,81,53,75,74,RCB,2013-07-19,2024,Brazil,Right,3
FC Bayern MÃ¼nchen,Leon Christoph Goretzka,140000,26,81,82,82,84,LDM,2018-07-01,2026,Germany,Right,4
Juventus,Paulo Bruno Exequiel Dybala,160000,27,84,86,86,90,CAM,2015-07-01,2022,Argentina,Left,3
Liverpool,Andrew Robertson,175000,27,84,61,81,81,LB,2017-07-21,2026,Scotland,Left,3
FC Barcelona,Frenkie de Jong,210000,24,81,69,85,88,RCM,2019-07-01,2026,Netherlands,Right,3
Liverpool,Trent Alexander-Arnold,150000,22,79,68,88,80,RB,2015-10-07,2025,England,Right,3
Manchester United,Jadon Sancho,150000,21,81,76,82,91,LM,2021-07-23,2026,England,Right,3
Manchester City,RÃºben dos Santos Gato Alves Dias,170000,24,61,38,65,68,RCB,2020-09-29,2027,Portugal,Right,3
